layer,head,src_idx,src_token,dst_idx,dst_token,weight
28,4,2, sat,4, the,0.000000
28,4,3, on,0,The,0.026031
28,4,3, on,1, cat,0.888184
28,4,3, on,2, sat,0.055389
28,4,3, on,3, on,0.030640
28,4,3, on,4, the,0.000000
28,4,4, the,0,The,0.020477
28,4,4, the,1, cat,0.789062
28,4,4, the,2, sat,0.043152
28,4,4, the,3, on,0.023911
28,4,4, the,4, the,0.123535
28,5,0,The,0,The,1.000000
28,5,0,The,1, cat,0.000000
28,5,0,The,2, sat,0.000000
28,5,0,The,3, on,0.000000
28,5,0,The,4, the,0.000000
28,5,1, cat,0,The,0.017746
28,5,1, cat,1, cat,0.982422
28,5,1, cat,2, sat,0.000000
28,5,1, cat,3, on,0.000000
28,5,1, cat,4, the,0.000000
28,5,2, sat,0,The,0.018768
28,5,2, sat,1, cat,0.941406
28,5,2, sat,2, sat,0.039612
28,5,2, sat,3, on,0.000000
28,5,2, sat,4, the,0.000000
28,5,3, on,0,The,0.022476
28,5,3, on,1, cat,0.903320
28,5,3, on,2, sat,0.045563
28,5,3, on,3, on,0.028488
28,5,3, on,4, the,0.000000
28,5,4, the,0,The,0.016647
28,5,4, the,1, cat,0.819824
28,5,4, the,2, sat,0.035187
28,5,4, the,3, on,0.021271
28,5,4, the,4, the,0.107239
28,6,0,The,0,The,1.000000
28,6,0,The,1, cat,0.000000
28,6,0,The,2, sat,0.000000
28,6,0,The,3, on,0.000000
28,6,0,The,4, the,0.000000
28,6,1, cat,0,The,0.044525
28,6,1, cat,1, cat,0.955566
28,6,1, cat,2, sat,0.000000
28,6,1, cat,3, on,0.000000
28,6,1, cat,4, the,0.000000
28,6,2, sat,0,The,0.020248
28,6,2, sat,1, cat,0.925781
28,6,2, sat,2, sat,0.053772
28,6,2, sat,3, on,0.000000
28,6,2, sat,4, the,0.000000
28,6,3, on,0,The,0.020370
28,6,3, on,1, cat,0.899902
28,6,3, on,2, sat,0.052948
28,6,3, on,3, on,0.026825
28,6,3, on,4, the,0.000000
28,6,4, the,0,The,0.017242
28,6,4, the,1, cat,0.755371
28,6,4, the,2, sat,0.045868
28,6,4, the,3, on,0.022934
28,6,4, the,4, the,0.158691
28,7,0,The,0,The,1.000000
28,7,0,The,1, cat,0.000000
28,7,0,The,2, sat,0.000000
28,7,0,The,3, on,0.000000
28,7,0,The,4, the,0.000000
28,7,1, cat,0,The,0.080078
28,7,1, cat,1, cat,0.919922
28,7,1, cat,2, sat,0.000000
28,7,1, cat,3, on,0.000000
28,7,1, cat,4, the,0.000000
28,7,2, sat,0,The,0.085938
28,7,2, sat,1, cat,0.771484
28,7,2, sat,2, sat,0.142456
28,7,2, sat,3, on,0.000000
28,7,2, sat,4, the,0.000000
28,7,3, on,0,The,0.089661
28,7,3, on,1, cat,0.671387
28,7,3, on,2, sat,0.142212
28,7,3, on,3, on,0.096680
28,7,3, on,4, the,0.000000
28,7,4, the,0,The,0.053955
28,7,4, the,1, cat,0.509766
28,7,4, the,2, sat,0.091431
28,7,4, the,3, on,0.058655
28,7,4, the,4, the,0.286377
28,8,0,The,0,The,1.000000
28,8,0,The,1, cat,0.000000
28,8,0,The,2, sat,0.000000
28,8,0,The,3, on,0.000000
28,8,0,The,4, the,0.000000
28,8,1, cat,0,The,0.048065
28,8,1, cat,1, cat,0.952148
28,8,1, cat,2, sat,0.000000
28,8,1, cat,3, on,0.000000
28,8,1, cat,4, the,0.000000
28,8,2, sat,0,The,0.028183
28,8,2, sat,1, cat,0.907227
28,8,2, sat,2, sat,0.064636
28,8,2, sat,3, on,0.000000
28,8,2, sat,4, the,0.000000
28,8,3, on,0,The,0.028748
28,8,3, on,1, cat,0.870117
28,8,3, on,2, sat,0.064880
28,8,3, on,3, on,0.036194
28,8,3, on,4, the,0.000000
28,8,4, the,0,The,0.028366
28,8,4, the,1, cat,0.726074
28,8,4, the,2, sat,0.061310
28,8,4, the,3, on,0.035248
28,8,4, the,4, the,0.149048
