layer,head,score
33,9,0.046265
33,10,0.005238
33,11,0.040466
33,12,0.035522
33,13,0.100891
33,14,0.048737
33,15,0.017197
33,16,0.017517
33,17,0.004765
33,18,0.002871
33,19,0.006077
34,0,0.109802
34,1,0.008102
34,2,0.006863
34,3,0.013855
34,4,0.064392
34,5,0.012108
34,6,0.021423
34,7,0.021866
34,8,0.067383
34,9,0.038574
34,10,0.003139
34,11,0.038055
34,12,0.019363
34,13,0.050415
34,14,0.006653
34,15,0.060822
34,16,0.035675
34,17,0.035950
34,18,0.047546
34,19,0.028854
35,0,0.014275
35,1,0.017654
35,2,0.025879
35,3,0.044403
35,4,0.017059
35,5,0.059021
35,6,0.012138
35,7,0.067688
35,8,0.016388
35,9,0.019028
35,10,0.096924
35,11,0.077454
35,12,0.090454
35,13,0.021576
35,14,0.017151
35,15,0.072632
35,16,0.034119
35,17,0.054718
35,18,0.071106
35,19,0.054413
