layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
5,13,0.265869,0.265869,3.725615,3.722466,-0.003149,0.948540,0.100139,0.100139
5,14,0.179321,0.179321,3.725615,3.727586,0.001971,0.773296,0.820584,0.773296
5,15,0.297607,0.297607,3.725615,3.738609,0.012994,0.961057,0.955494,0.955494
5,16,0.091797,0.091797,3.725615,3.739196,0.013581,0.182197,0.956885,0.182197
5,17,0.197998,0.197998,3.725615,3.712275,-0.013340,0.838665,0.026426,0.026426
5,18,0.407715,0.407715,3.725615,3.701441,-0.024174,0.981919,0.005563,0.005563
5,19,0.185791,0.185791,3.725615,3.728635,0.003020,0.813630,0.859527,0.813630
6,0,0.324463,0.324463,3.725615,3.732890,0.007275,0.963839,0.915160,0.915160
6,1,0.770020,0.770020,3.725615,3.720158,-0.005457,0.997218,0.069541,0.069541
6,2,0.915527,0.915527,3.725615,3.717963,-0.007652,1.000000,0.052851,0.052851
6,3,0.425537,0.425537,3.725615,3.786390,0.060775,0.984701,0.997218,0.984701
6,4,0.334961,0.334961,3.725615,3.756339,0.030724,0.968011,0.979138,0.968011
6,5,0.338379,0.338379,3.725615,3.729620,0.004005,0.970793,0.881780,0.881780
6,6,0.286133,0.286133,3.725615,3.742726,0.017111,0.958275,0.966620,0.958275
6,7,0.351074,0.351074,3.725615,3.724618,-0.000997,0.973574,0.186370,0.186370
6,8,0.228394,0.228394,3.725615,3.772654,0.047039,0.902643,0.991655,0.902643
6,9,0.335449,0.335449,3.725615,3.723008,-0.002607,0.969402,0.115438,0.115438
6,10,0.484375,0.484375,3.725615,3.716265,-0.009350,0.988873,0.043115,0.043115
6,11,0.914551,0.914551,3.725615,3.728909,0.003294,0.998609,0.866481,0.866481
6,12,0.108154,0.108154,3.725615,3.730035,0.004420,0.303199,0.884562,0.303199
6,13,0.426514,0.426514,3.725615,3.717481,-0.008134,0.986092,0.050070,0.050070
6,14,0.351807,0.351807,3.725615,3.730611,0.004996,0.974965,0.891516,0.891516
6,15,0.750488,0.750488,3.725615,3.731520,0.005905,0.994437,0.904033,0.904033
6,16,0.176025,0.176025,3.725615,3.728268,0.002653,0.756606,0.849791,0.756606
6,17,0.139282,0.139282,3.725615,3.726183,0.000568,0.514604,0.726008,0.514604
6,18,0.236816,0.236816,3.725615,3.728083,0.002468,0.916551,0.842837,0.842837
6,19,0.119812,0.119812,3.725615,3.735411,0.009796,0.383866,0.942976,0.383866
7,0,0.152344,0.152344,3.725615,3.729398,0.003783,0.614743,0.874826,0.614743
7,1,0.485107,0.485107,3.725615,3.762679,0.037064,0.990264,0.986092,0.986092
7,2,0.420166,0.420166,3.725615,3.714742,-0.010873,0.983310,0.034771,0.034771
7,3,0.098938,0.098938,3.725615,3.725332,-0.000283,0.229485,0.264256,0.229485
7,4,0.242065,0.242065,3.725615,3.775750,0.050135,0.919332,0.994437,0.919332
7,5,0.127808,0.127808,3.725615,3.718438,-0.007177,0.433936,0.057024,0.057024
7,6,0.248047,0.248047,3.725615,3.711598,-0.014017,0.927677,0.023644,0.023644
7,7,0.293457,0.293457,3.725615,3.730740,0.005125,0.959666,0.892907,0.892907
7,8,0.073792,0.073792,3.725615,3.715712,-0.009903,0.093185,0.040334,0.040334
7,9,0.168335,0.168335,3.725615,3.762463,0.036848,0.712100,0.984701,0.712100
7,10,0.141846,0.141846,3.725615,3.733319,0.007704,0.549374,0.919332,0.549374
7,11,0.383545,0.383545,3.725615,3.734254,0.008639,0.980529,0.933241,0.933241
7,12,0.081421,0.081421,3.725615,3.731749,0.006134,0.134910,0.906815,0.134910
7,13,0.089905,0.089905,3.725615,3.740434,0.014819,0.175243,0.963839,0.175243
7,14,0.194458,0.194458,3.725615,3.711325,-0.014290,0.830320,0.022253,0.022253
7,15,0.076660,0.076660,3.725615,3.677520,-0.048095,0.107093,0.001391,0.001391
7,16,0.248901,0.248901,3.725615,3.746712,0.021097,0.929068,0.972184,0.929068
7,17,0.075806,0.075806,3.725615,3.560391,-0.165224,0.101530,0.000000,0.000000
7,18,0.226074,0.226074,3.725615,3.718310,-0.007305,0.897079,0.055633,0.055633
7,19,0.233887,0.233887,3.725615,3.735211,0.009596,0.913769,0.941586,0.913769
8,0,0.174194,0.174194,3.725615,3.729615,0.004000,0.748261,0.880389,0.748261
8,1,0.159790,0.159790,3.725615,3.750549,0.024934,0.664812,0.974965,0.664812
8,2,0.113464,0.113464,3.725615,3.730335,0.004720,0.342142,0.887344,0.342142
8,3,0.146240,0.146240,3.725615,3.737586,0.011971,0.581363,0.951321,0.581363
8,4,0.212158,0.212158,3.725615,3.734804,0.009189,0.873435,0.940195,0.873435
8,5,0.115723,0.115723,3.725615,3.762355,0.036740,0.351878,0.983310,0.351878
8,6,0.118164,0.118164,3.725615,3.742953,0.017338,0.371349,0.968011,0.371349
8,7,0.092163,0.092163,3.725615,3.727959,0.002344,0.184979,0.837274,0.184979
8,8,0.107056,0.107056,3.725615,3.725564,-0.000051,0.296245,0.365786,0.296245
8,9,0.611816,0.611816,3.725615,3.692685,-0.032930,0.993046,0.002782,0.002782
8,10,0.123291,0.123291,3.725615,3.733319,0.007704,0.410292,0.920723,0.410292
8,11,0.170410,0.170410,3.725615,3.723090,-0.002525,0.721836,0.116829,0.116829
8,12,0.226318,0.226318,3.725615,3.734778,0.009163,0.899861,0.938804,0.899861
8,13,0.260986,0.260986,3.725615,3.734135,0.008520,0.941586,0.931850,0.931850
8,14,0.132812,0.132812,3.725615,3.724299,-0.001316,0.474270,0.159944,0.159944
8,15,0.145264,0.145264,3.725615,3.737185,0.011570,0.574409,0.949930,0.574409
8,16,0.176025,0.176025,3.725615,3.737890,0.012275,0.757997,0.954103,0.757997
8,17,0.136108,0.136108,3.725615,3.734532,0.008917,0.495132,0.934631,0.495132
8,18,0.149536,0.149536,3.725615,3.771071,0.045456,0.602225,0.990264,0.602225
8,19,0.128906,0.128906,3.725615,3.705344,-0.020271,0.449235,0.006954,0.006954
9,0,0.096252,0.096252,3.725615,3.724078,-0.001537,0.208623,0.148818,0.148818
9,1,0.076538,0.076538,3.725615,3.725758,0.000143,0.104312,0.621697,0.104312
9,2,0.046997,0.046997,3.725615,3.725457,-0.000158,0.013908,0.301808,0.013908
9,3,0.070374,0.070374,3.725615,3.725685,0.000070,0.047288,0.567455,0.047288
9,4,0.106873,0.106873,3.725615,3.724970,-0.000645,0.293463,0.214186,0.214186
9,5,0.081177,0.081177,3.725615,3.726113,0.000498,0.132128,0.719054,0.132128
9,6,0.160522,0.160522,3.725615,3.725412,-0.000203,0.667594,0.290682,0.290682
9,7,0.146484,0.146484,3.725615,3.725756,0.000141,0.584145,0.620306,0.584145
9,8,0.122925,0.122925,3.725615,3.723509,-0.002106,0.407510,0.127955,0.127955
9,9,0.094116,0.094116,3.725615,3.725616,0.000000,0.194715,0.426982,0.194715
9,10,0.103577,0.103577,3.725615,3.724071,-0.001544,0.265647,0.147427,0.147427
9,11,0.081543,0.081543,3.725615,3.720891,-0.004724,0.136300,0.075104,0.075104
9,12,0.142456,0.142456,3.725615,3.727122,0.001507,0.554937,0.803894,0.554937
9,13,0.088745,0.088745,3.725615,3.726532,0.000916,0.166898,0.762170,0.166898
9,14,0.098633,0.098633,3.725615,3.724829,-0.000786,0.223922,0.196106,0.196106
9,15,0.138550,0.138550,3.725615,3.726285,0.000670,0.509040,0.737135,0.509040
9,16,0.172607,0.172607,3.725615,3.726489,0.000874,0.737135,0.759388,0.737135
9,17,0.099854,0.099854,3.725615,3.723618,-0.001997,0.237830,0.129346,0.129346
9,18,0.104980,0.104980,3.725615,3.726098,0.000483,0.275382,0.716273,0.275382
9,19,0.116333,0.116333,3.725615,3.725163,-0.000452,0.357441,0.240612,0.240612
10,0,0.172119,0.172119,3.725615,3.728669,0.003054,0.732962,0.860918,0.732962
10,1,0.178589,0.178589,3.725615,3.735775,0.010159,0.770515,0.947149,0.770515
10,2,0.161987,0.161987,3.725615,3.725498,-0.000117,0.675939,0.319889,0.319889
10,3,0.168945,0.168945,3.725615,3.725213,-0.000402,0.717663,0.243394,0.243394
10,4,0.173706,0.173706,3.725615,3.725657,0.000042,0.744089,0.541029,0.541029
10,5,0.281982,0.281982,3.725615,3.706944,-0.018671,0.954103,0.011127,0.011127
10,6,0.123169,0.123169,3.725615,3.725159,-0.000456,0.408901,0.239221,0.239221
10,7,0.174561,0.174561,3.725615,3.721174,-0.004441,0.751043,0.079277,0.079277
10,8,0.247314,0.247314,3.725615,3.718661,-0.006954,0.926287,0.059805,0.059805
10,9,0.171387,0.171387,3.725615,3.729197,0.003582,0.727399,0.870654,0.727399
10,10,0.166626,0.166626,3.725615,3.723893,-0.001722,0.702364,0.140473,0.140473
10,11,0.195068,0.195068,3.725615,3.719533,-0.006082,0.831711,0.065369,0.065369
10,12,0.096741,0.096741,3.725615,3.723260,-0.002355,0.212796,0.125174,0.125174
10,13,0.157959,0.157959,3.725615,3.712493,-0.013122,0.656467,0.027816,0.027816
10,14,0.094849,0.094849,3.725615,3.721648,-0.003967,0.200278,0.083449,0.083449
10,15,0.184570,0.184570,3.725615,3.724422,-0.001193,0.805285,0.171071,0.171071
10,16,0.132202,0.132202,3.725615,3.717316,-0.008299,0.470097,0.047288,0.047288
10,17,0.281006,0.281006,3.725615,3.726680,0.001065,0.952712,0.778860,0.778860
10,18,0.163696,0.163696,3.725615,3.725526,-0.000089,0.684284,0.343533,0.343533
10,19,0.251221,0.251221,3.725615,3.724861,-0.000754,0.930459,0.201669,0.201669
11,0,0.201782,0.201782,3.725615,3.735661,0.010046,0.845619,0.945758,0.845619
11,1,0.110413,0.110413,3.725615,3.751085,0.025470,0.319889,0.976356,0.319889
11,2,0.365967,0.365967,3.725615,3.736188,0.010573,0.979138,0.948540,0.948540
11,3,0.181274,0.181274,3.725615,3.770966,0.045351,0.787204,0.988873,0.787204
