layer,head,pattern_score,total_delta_nll,direct_delta_nll,indirect_delta_nll
15,5,0.22631800174713135,0.0025710000190883875,0.0,0.0025710000190883875
15,6,0.08654800057411194,0.00017699999443721026,0.0,0.00017699999443721026
15,7,0.15698200464248657,0.0013500000350177288,0.0,0.0013500000350177288
15,8,0.14050300419330597,0.0008999999845400453,0.0,0.0008999999845400453
15,9,0.18481400609016418,-7.400000322377309e-05,0.0,-7.400000322377309e-05
15,10,0.1614989936351776,0.0015290000010281801,0.0,0.0015290000010281801
15,11,0.0555419996380806,0.000957000011112541,0.0,0.000957000011112541
15,12,0.10577400028705597,0.0010179999517276883,0.0,0.0010179999517276883
15,13,0.10626199841499329,-3.300000025774352e-05,0.0,-3.300000025774352e-05
15,14,0.1779790073633194,0.0001230000052601099,0.0,0.0001230000052601099
15,15,0.22839400172233582,0.0010369999799877405,0.0,0.0010369999799877405
15,16,0.22277800738811493,-0.00011500000255182385,0.0,-0.00011500000255182385
15,17,0.10620100051164627,-0.0005019999807700515,0.0,-0.0005019999807700515
15,18,0.12078899890184402,-0.00019999999494757503,0.0,-0.00019999999494757503
15,19,0.2517090141773224,9.500000305706635e-05,0.0,9.500000305706635e-05
16,0,0.1176149994134903,0.002194999950006604,0.0,0.002194999950006604
16,1,0.0872189998626709,0.004747999832034111,0.0,0.004747999832034111
16,2,0.09051500260829926,0.00023200000578071922,0.0,0.00023200000578071922
16,3,0.18164099752902985,0.0018269999418407679,0.0,0.0018269999418407679
16,4,0.16686999797821045,0.0020310000982135534,0.0,0.0020310000982135534
16,5,0.14379900693893433,0.0024790000170469284,0.0,0.0024790000170469284
16,6,0.25463899970054626,0.0036949999630451202,0.0,0.0036949999630451202
16,7,0.11059600114822388,0.0002899999963119626,0.0,0.0002899999963119626
16,8,0.17724600434303284,0.0013360000448301435,0.0,0.0013360000448301435
16,9,0.12371800094842911,0.0022819999139755964,0.0,0.0022819999139755964
16,10,0.14123499393463135,4.099999932805076e-05,0.0,4.099999932805076e-05
16,11,0.10076899826526642,0.004000000189989805,0.0,0.004000000189989805
16,12,0.2131350040435791,0.0017610000213608146,0.0,0.0017610000213608146
16,13,0.12878400087356567,0.0023330000694841146,0.0,0.0023330000694841146
16,14,0.2421880066394806,0.004288999829441309,0.0,0.004288999829441309
16,15,0.09948699921369553,0.0025049999821931124,0.0,0.0025049999821931124
16,16,0.26586899161338806,0.003452999982982874,0.0,0.003452999982982874
16,17,0.1558839976787567,0.008061000145971775,0.0,0.008061000145971775
16,18,0.1340329945087433,0.0021830000914633274,0.0,0.0021830000914633274
16,19,0.10717800259590149,0.008458999916911125,0.0,0.008458999916911125
17,0,0.10809300094842911,0.00368200009688735,0.0,0.00368200009688735
17,1,0.1652829945087433,-0.0027799999807029963,0.0,-0.0027799999807029963
17,2,0.1423339992761612,-0.0001230000052601099,0.0,-0.0001230000052601099
17,3,0.1414790004491806,-0.0006360000115819275,0.0,-0.0006360000115819275
17,4,0.1635739952325821,-0.005927999969571829,0.0,-0.005927999969571829
17,5,0.14306600391864777,0.002669000066816807,0.0,0.002669000066816807
17,6,0.09612999856472015,-8.199999865610152e-05,0.0,-8.199999865610152e-05
17,7,0.17468300461769104,-0.0012080000014975667,0.0,-0.0012080000014975667
17,8,0.1549070030450821,-0.0018739999504759908,0.0,-0.0018739999504759908
17,9,0.11114499717950821,-0.0026259999722242355,0.0,-0.0026259999722242355
17,10,0.13134799897670746,-0.0011269999668002129,0.0,-0.0011269999668002129
17,11,0.1392820030450821,-0.0010100000072270632,0.0,-0.0010100000072270632
17,12,0.17956499755382538,-0.0004220000118948519,0.0,-0.0004220000118948519
17,13,0.18200699985027313,-0.00037900000461377203,0.0,-0.00037900000461377203
17,14,0.15551799535751343,-0.00037399999564513564,0.0,-0.00037399999564513564
17,15,0.1297609955072403,-0.0008980000275187194,0.0,-0.0008980000275187194
17,16,0.09863299876451492,0.0016870000399649143,0.0,0.0016870000399649143
17,17,0.15515099465847015,-0.0006760000251233578,0.0,-0.0006760000251233578
17,18,0.16735799610614777,0.0002229999954579398,0.0,0.0002229999954579398
17,19,0.20214800536632538,-0.0005600000149570405,0.0,-0.0005600000149570405
18,0,0.1380620002746582,0.0005920000257901847,0.0,0.0005920000257901847
18,1,0.18286100029945374,-0.00013299999409355223,0.0,-0.00013299999409355223
18,2,0.07141099870204926,0.0005549999768845737,0.0,0.0005549999768845737
18,3,0.14013700187206268,0.0007070000283420086,0.0,0.0007070000283420086
18,4,0.1531980037689209,7.500000356230885e-05,0.0,7.500000356230885e-05
18,5,0.08038300275802612,2.9000000722589903e-05,0.0,2.9000000722589903e-05
18,6,0.3212890028953552,0.0002690000110305846,0.0,0.0002690000110305846
18,7,0.08697500079870224,-9.100000170292333e-05,0.0,-9.100000170292333e-05
18,8,0.17517100274562836,-0.00010599999950500205,0.0,-0.00010599999950500205
18,9,0.23156699538230896,-0.00030700000934302807,0.0,-0.00030700000934302807
18,10,0.10607899725437164,0.0003110000106971711,0.0,0.0003110000106971711
