head_type,model,rank,layer,head,score
successor,residual,10,13,6,0.19995276629924774
successor,residual,11,19,13,0.19706130027770996
successor,residual,12,30,5,0.18404412269592285
successor,residual,13,16,9,0.17458541691303253
successor,residual,14,26,10,0.1640537530183792
successor,residual,15,19,8,0.15868012607097626
successor,residual,16,32,2,0.1586005687713623
successor,residual,17,20,8,0.15589921176433563
successor,residual,18,18,7,0.15530602633953094
successor,residual,19,16,12,0.15482385456562042
successor,residual,20,17,6,0.14666159451007843
successor,mhc,1,7,15,0.966965913772583
successor,mhc,2,6,11,0.8572806715965271
successor,mhc,3,7,3,0.7256102561950684
successor,mhc,4,1,17,0.4831429421901703
successor,mhc,5,7,14,0.3155252933502197
successor,mhc,6,8,14,0.2853279113769531
successor,mhc,7,7,19,0.28267645835876465
successor,mhc,8,7,8,0.23626597225666046
successor,mhc,9,5,9,0.2347985953092575
successor,mhc,10,8,10,0.20942442119121552
successor,mhc,11,2,13,0.1911156177520752
successor,mhc,12,7,13,0.18414680659770966
successor,mhc,13,5,0,0.17717544734477997
successor,mhc,14,9,10,0.1744399070739746
successor,mhc,15,9,18,0.1718563288450241
successor,mhc,16,8,7,0.1681714802980423
successor,mhc,17,8,9,0.16692614555358887
successor,mhc,18,11,19,0.16670306026935577
successor,mhc,19,6,2,0.1440180093050003
successor,mhc,20,4,10,0.13471977412700653
successor,mhc_lite,1,7,14,0.5656717419624329
successor,mhc_lite,2,2,18,0.5234970450401306
successor,mhc_lite,3,7,1,0.5061788558959961
successor,mhc_lite,4,8,8,0.2775387763977051
successor,mhc_lite,5,8,0,0.26722240447998047
successor,mhc_lite,6,8,16,0.25083470344543457
successor,mhc_lite,7,8,7,0.20137445628643036
successor,mhc_lite,8,11,5,0.18413250148296356
successor,mhc_lite,9,6,10,0.18018579483032227
successor,mhc_lite,10,7,7,0.16002988815307617
successor,mhc_lite,11,11,1,0.1407405585050583
successor,mhc_lite,12,7,9,0.10845605283975601
successor,mhc_lite,13,5,9,0.10579673200845718
successor,mhc_lite,14,11,19,0.09636703878641129
successor,mhc_lite,15,13,0,0.0954238548874855
successor,mhc_lite,16,9,4,0.09250792115926743
