layer,head,score,baseline_logp_target,baseline_logp_distractor,ablated_logp_target,ablated_logp_distractor,delta_target,delta_distractor
6,18,0.002391,-4.116848,-4.017983,-4.088843,-4.015593,-0.028005,0.002391
6,19,-0.092398,-4.116848,-4.017983,-4.148854,-4.110381,0.032006,-0.092398
7,0,0.154829,-4.116848,-4.017983,-3.932778,-3.863155,-0.184070,0.154829
7,1,-0.370326,-4.116848,-4.017983,-4.527744,-4.388309,0.410896,-0.370326
7,2,-0.203281,-4.116848,-4.017983,-4.385524,-4.221265,0.268676,-0.203281
7,3,-0.053094,-4.116848,-4.017983,-4.133056,-4.071077,0.016208,-0.053094
7,4,-0.451511,-4.116848,-4.017983,-4.604056,-4.469495,0.487208,-0.451511
7,5,0.099677,-4.116848,-4.017983,-3.978095,-3.918307,-0.138753,0.099677
7,6,-0.004797,-4.116848,-4.017983,-4.090451,-4.022781,-0.026397,-0.004797
7,7,-0.065484,-4.116848,-4.017983,-4.213542,-4.083467,0.096694,-0.065484
7,8,0.055133,-4.116848,-4.017983,-4.046620,-3.962851,-0.070228,0.055133
7,9,-0.081426,-4.116848,-4.017983,-4.239307,-4.099409,0.122459,-0.081426
7,10,-0.060868,-4.116848,-4.017983,-4.150943,-4.078852,0.034095,-0.060868
7,11,-0.064808,-4.116848,-4.017983,-4.209090,-4.082791,0.092242,-0.064808
7,12,0.046143,-4.116848,-4.017983,-4.096078,-3.971841,-0.020770,0.046143
7,13,-0.303704,-4.116848,-4.017983,-4.377042,-4.321688,0.260194,-0.303704
7,14,-0.032886,-4.116848,-4.017983,-4.095749,-4.050869,-0.021099,-0.032886
7,15,0.445012,-4.116848,-4.017983,-3.662146,-3.572971,-0.454702,0.445012
7,16,-0.011666,-4.116848,-4.017983,-4.250283,-4.029650,0.133435,-0.011666
7,17,0.995298,-4.116848,-4.017983,-3.227536,-3.022686,-0.889312,0.995298
7,18,-0.001687,-4.116848,-4.017983,-4.199925,-4.019670,0.083077,-0.001687
7,19,-0.084126,-4.116848,-4.017983,-3.984786,-4.102109,-0.132062,-0.084126
8,0,-0.047675,-4.116848,-4.017983,-4.167736,-4.065659,0.050888,-0.047675
8,1,-0.141403,-4.116848,-4.017983,-4.300398,-4.159386,0.183550,-0.141403
8,2,0.032020,-4.116848,-4.017983,-4.125334,-3.985964,0.008486,0.032020
8,3,-0.006889,-4.116848,-4.017983,-4.118455,-4.024872,0.001607,-0.006889
8,4,0.063427,-4.116848,-4.017983,-3.999577,-3.954556,-0.117271,0.063427
8,5,-0.022329,-4.116848,-4.017983,-4.113075,-4.040313,-0.003773,-0.022329
8,6,-0.041593,-4.116848,-4.017983,-4.106081,-4.059577,-0.010767,-0.041593
8,7,0.027571,-4.116848,-4.017983,-4.071706,-3.990413,-0.045142,0.027571
8,8,-0.026173,-4.116848,-4.017983,-4.170997,-4.044156,0.054149,-0.026173
8,9,0.214976,-4.116848,-4.017983,-3.802612,-3.803008,-0.314236,0.214976
8,10,-0.055546,-4.116848,-4.017983,-4.186949,-4.073529,0.070101,-0.055546
8,11,0.005230,-4.116848,-4.017983,-4.049381,-4.012753,-0.067467,0.005230
8,12,0.058855,-4.116848,-4.017983,-4.061408,-3.959129,-0.055440,0.058855
8,13,0.023640,-4.116848,-4.017983,-4.039472,-3.994343,-0.077376,0.023640
8,14,-0.005832,-4.116848,-4.017983,-4.143424,-4.023815,0.026576,-0.005832
8,15,-0.073562,-4.116848,-4.017983,-4.126313,-4.091545,0.009465,-0.073562
8,16,0.006118,-4.116848,-4.017983,-4.198836,-4.011866,0.081988,0.006118
8,17,0.096402,-4.116848,-4.017983,-3.988388,-3.921582,-0.128460,0.096402
8,18,-0.083525,-4.116848,-4.017983,-4.300090,-4.101508,0.183242,-0.083525
8,19,0.263844,-4.116848,-4.017983,-3.940882,-3.754139,-0.175966,0.263844
9,0,0.016459,-4.116848,-4.017983,-4.104359,-4.001524,-0.012489,0.016459
9,1,0.001416,-4.116848,-4.017983,-4.113333,-4.016568,-0.003515,0.001416
9,2,-0.001374,-4.116848,-4.017983,-4.112563,-4.019358,-0.004285,-0.001374
9,3,-0.009161,-4.116848,-4.017983,-4.120183,-4.027144,0.003335,-0.009161
9,4,0.014699,-4.116848,-4.017983,-4.099233,-4.003285,-0.017615,0.014699
9,5,0.004985,-4.116848,-4.017983,-4.117525,-4.012999,0.000677,0.004985
9,6,-0.004835,-4.116848,-4.017983,-4.121816,-4.022818,0.004968,-0.004835
9,7,0.015780,-4.116848,-4.017983,-4.107720,-4.002203,-0.009128,0.015780
9,8,0.008341,-4.116848,-4.017983,-4.116540,-4.009643,-0.000308,0.008341
9,9,-0.001071,-4.116848,-4.017983,-4.123445,-4.019055,0.006597,-0.001071
9,10,0.015697,-4.116848,-4.017983,-4.100997,-4.002286,-0.015851,0.015697
9,11,0.049626,-4.116848,-4.017983,-4.059828,-3.968358,-0.057020,0.049626
9,12,0.002386,-4.116848,-4.017983,-4.126032,-4.015597,0.009184,0.002386
9,13,-0.009449,-4.116848,-4.017983,-4.127817,-4.027432,0.010969,-0.009449
9,14,0.001877,-4.116848,-4.017983,-4.118516,-4.016107,0.001668,0.001877
9,15,0.007741,-4.116848,-4.017983,-4.119756,-4.010242,0.002908,0.007741
9,16,-0.019207,-4.116848,-4.017983,-4.122879,-4.037190,0.006031,-0.019207
9,17,0.001457,-4.116848,-4.017983,-4.115924,-4.016526,-0.000924,0.001457
9,18,-0.004811,-4.116848,-4.017983,-4.120279,-4.022794,0.003431,-0.004811
9,19,0.000531,-4.116848,-4.017983,-4.107819,-4.017452,-0.009029,0.000531
10,0,-0.043792,-4.116848,-4.017983,-4.165334,-4.061776,0.048486,-0.043792
10,1,-0.053400,-4.116848,-4.017983,-4.146247,-4.071383,0.029399,-0.053400
10,2,0.007647,-4.116848,-4.017983,-4.113944,-4.010337,-0.002904,0.007647
10,3,-0.026862,-4.116848,-4.017983,-4.122097,-4.044846,0.005249,-0.026862
10,4,-0.068292,-4.116848,-4.017983,-4.187446,-4.086276,0.070598,-0.068292
10,5,0.065440,-4.116848,-4.017983,-3.848687,-3.952544,-0.268161,0.065440
10,6,-0.004612,-4.116848,-4.017983,-4.133467,-4.022596,0.016619,-0.004612
10,7,0.014997,-4.116848,-4.017983,-4.094915,-4.002986,-0.021933,0.014997
10,8,0.080604,-4.116848,-4.017983,-3.932892,-3.937380,-0.183956,0.080604
10,9,0.021944,-4.116848,-4.017983,-4.323225,-3.996039,0.206377,0.021944
10,10,-0.033055,-4.116848,-4.017983,-4.159371,-4.051039,0.042523,-0.033055
10,11,0.031045,-4.116848,-4.017983,-4.082986,-3.986938,-0.033862,0.031045
10,12,0.005818,-4.116848,-4.017983,-4.105887,-4.012166,-0.010961,0.005818
10,13,0.140024,-4.116848,-4.017983,-3.936149,-3.877960,-0.180699,0.140024
10,14,-0.008717,-4.116848,-4.017983,-4.125196,-4.026700,0.008348,-0.008717
10,15,-0.004183,-4.116848,-4.017983,-4.107259,-4.022166,-0.009589,-0.004183
10,16,0.001963,-4.116848,-4.017983,-4.106102,-4.016021,-0.010746,0.001963
