layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
6,15,0.005192,0.005192,1.388672,1.410060,0.021388,0.132128,0.855355,0.132128
6,16,0.000120,0.000120,1.388672,1.436397,0.047725,0.034771,0.898470,0.034771
6,17,0.000430,0.000430,1.388672,1.386632,-0.002041,0.043115,0.215577,0.043115
6,18,0.000042,0.000042,1.388672,1.355859,-0.032814,0.025035,0.050070,0.025035
6,19,0.000025,0.000025,1.388672,1.534440,0.145768,0.018081,0.972184,0.018081
7,0,0.039093,0.039093,1.388672,1.399600,0.010928,0.831711,0.820584,0.820584
7,1,0.000000,0.000000,1.388672,1.995387,0.606715,0.002782,0.993046,0.002782
7,2,0.002399,0.002399,1.388672,1.384102,-0.004571,0.090403,0.164117,0.090403
7,3,0.000000,0.000000,1.388672,2.014809,0.626137,0.004172,0.994437,0.004172
7,4,0.000847,0.000847,1.388672,1.416817,0.028145,0.057024,0.869263,0.057024
7,5,0.026535,0.026535,1.388672,1.399082,0.010410,0.578581,0.816412,0.578581
7,6,0.001003,0.001003,1.388672,1.368582,-0.020090,0.063978,0.075104,0.063978
7,7,0.016602,0.016602,1.388672,1.484279,0.095606,0.318498,0.941586,0.318498
7,8,0.017136,0.017136,1.388672,1.384650,-0.004023,0.331015,0.172462,0.172462
7,9,0.001010,0.001010,1.388672,1.394850,0.006177,0.065369,0.788595,0.065369
7,10,0.009109,0.009109,1.388672,1.376087,-0.012586,0.183588,0.101530,0.101530
7,11,0.001433,0.001433,1.388672,1.382217,-0.006455,0.073713,0.127955,0.073713
7,12,0.005451,0.005451,1.388672,1.441610,0.052938,0.136300,0.906815,0.136300
7,13,0.002743,0.002743,1.388672,1.462863,0.074190,0.098748,0.929068,0.098748
7,14,0.000000,0.000000,1.388672,2.641525,1.252852,0.000000,0.998609,0.000000
7,15,0.000574,0.000574,1.388672,1.385880,-0.002793,0.050070,0.193324,0.050070
7,16,0.003712,0.003712,1.388672,1.405446,0.016774,0.108484,0.844228,0.108484
7,17,0.002317,0.002317,1.388672,1.420188,0.031516,0.086231,0.874826,0.086231
7,18,0.000668,0.000668,1.388672,1.403196,0.014524,0.052851,0.838665,0.052851
7,19,0.001053,0.001053,1.388672,1.474425,0.085753,0.066759,0.938804,0.066759
8,0,0.011162,0.011162,1.388672,1.389856,0.001184,0.214186,0.673157,0.214186
8,1,0.015182,0.015182,1.388672,1.400342,0.011670,0.286509,0.826147,0.286509
8,2,0.026566,0.026566,1.388672,1.386615,-0.002057,0.581363,0.212796,0.212796
8,3,0.020050,0.020050,1.388672,1.320849,-0.067824,0.393602,0.023644,0.023644
8,4,0.015503,0.015503,1.388672,1.367913,-0.020760,0.293463,0.072323,0.072323
8,5,0.000476,0.000476,1.388672,2.088981,0.700309,0.044506,0.995828,0.044506
8,6,0.026199,0.026199,1.388672,1.368887,-0.019785,0.564673,0.076495,0.076495
8,7,0.011795,0.011795,1.388672,1.330249,-0.058424,0.228095,0.029207,0.029207
8,8,0.004025,0.004025,1.388672,2.102942,0.714270,0.112656,0.997218,0.112656
8,9,0.004910,0.004910,1.388672,1.455642,0.066969,0.123783,0.923505,0.123783
8,10,0.023926,0.023926,1.388672,1.426090,0.037417,0.495132,0.885953,0.495132
8,11,0.023941,0.023941,1.388672,1.363438,-0.025235,0.496523,0.059805,0.059805
8,12,0.018402,0.018402,1.388672,1.369330,-0.019342,0.358832,0.079277,0.079277
8,13,0.034363,0.034363,1.388672,1.388346,-0.000326,0.746871,0.303199,0.303199
8,14,0.003063,0.003063,1.388672,1.340404,-0.048269,0.104312,0.034771,0.034771
8,15,0.029190,0.029190,1.388672,1.437325,0.048653,0.645341,0.899861,0.645341
8,16,0.177246,0.177246,1.388672,1.607311,0.218639,0.988873,0.980529,0.980529
8,17,0.039764,0.039764,1.388672,1.398903,0.010231,0.841446,0.815021,0.815021
8,18,0.049530,0.049530,1.388672,1.402486,0.013814,0.951321,0.833102,0.833102
8,19,0.011444,0.011444,1.388672,1.377258,-0.011415,0.216968,0.104312,0.104312
9,0,0.002958,0.002958,1.388672,1.485607,0.096934,0.102921,0.942976,0.102921
9,1,0.027267,0.027267,1.388672,1.429008,0.040336,0.599444,0.887344,0.599444
9,2,0.007145,0.007145,1.388672,1.609448,0.220775,0.159944,0.981919,0.159944
9,3,0.046753,0.046753,1.388672,1.398191,0.009519,0.922114,0.812239,0.812239
9,4,0.029785,0.029785,1.388672,1.399465,0.010793,0.660640,0.817802,0.660640
9,5,0.018555,0.018555,1.388672,1.502973,0.114301,0.363004,0.961057,0.363004
9,6,0.010452,0.010452,1.388672,1.529873,0.141201,0.197497,0.969402,0.197497
