layer,head,score
21,7,0.108215
21,8,0.182617
21,9,0.073364
21,10,0.185059
21,11,0.090576
21,12,0.108948
21,13,0.095093
21,14,0.072388
21,15,0.135132
21,16,0.082947
21,17,0.084106
21,18,0.080872
21,19,0.171997
22,0,0.131714
22,1,0.094116
22,2,0.165161
22,3,0.203613
22,4,0.143677
22,5,0.113831
22,6,0.150513
22,7,0.077759
22,8,0.127075
22,9,0.079041
22,10,0.076355
22,11,0.170898
22,12,0.170776
22,13,0.226929
22,14,0.082764
22,15,0.092224
22,16,0.231689
22,17,0.162354
22,18,0.091431
22,19,0.090820
23,0,0.135620
23,1,0.094177
23,2,0.271973
23,3,0.175659
23,4,0.116638
23,5,0.196533
23,6,0.085266
23,7,0.083252
23,8,0.078430
23,9,0.479004
23,10,0.110229
23,11,0.088562
23,12,0.090149
23,13,0.075928
23,14,0.263184
23,15,0.101868
23,16,0.106934
23,17,0.194458
23,18,0.070862
23,19,0.071594
24,0,0.091370
24,1,0.076843
24,2,0.087585
24,3,0.091614
24,4,0.075195
24,5,0.110352
24,6,0.100220
24,7,0.196777
24,8,0.119751
24,9,0.077576
24,10,0.100098
24,11,0.264893
24,12,0.096497
24,13,0.123535
24,14,0.095825
24,15,0.079956
24,16,0.196411
24,17,0.198853
24,18,0.075317
24,19,0.220215
25,0,0.105835
25,1,0.086670
25,2,0.078735
25,3,0.217896
25,4,0.107056
25,5,0.089294
25,6,0.091980
25,7,0.078247
25,8,0.082642
25,9,0.109924
25,10,0.435059
25,11,0.070496
25,12,0.081177
25,13,0.100098
25,14,0.074951
25,15,0.100952
25,16,0.210205
25,17,0.149658
25,18,0.141113
25,19,0.140381
26,0,0.072021
26,1,0.081726
26,2,0.091248
26,3,0.113708
26,4,0.135742
26,5,0.080078
26,6,0.081238
26,7,0.092590
26,8,0.074158
26,9,0.078491
26,10,0.127686
26,11,0.141968
26,12,0.109863
26,13,0.078918
26,14,0.124023
26,15,0.072021
26,16,0.074097
26,17,0.075134
26,18,0.097107
26,19,0.088684
27,0,0.078552
27,1,0.093262
27,2,0.089111
27,3,0.140259
27,4,0.074951
27,5,0.141602
27,6,0.113464
27,7,0.143555
27,8,0.072083
27,9,0.079224
27,10,0.160278
27,11,0.102234
27,12,0.107117
27,13,0.077942
27,14,0.146118
27,15,0.100342
27,16,0.075928
27,17,0.143311
27,18,0.167480
27,19,0.080872
28,0,0.074829
28,1,0.073120
28,2,0.156250
28,3,0.075806
28,4,0.094238
28,5,0.102844
28,6,0.084229
28,7,0.011635
28,8,0.076355
28,9,0.081909
28,10,0.120605
28,11,0.072144
28,12,0.077942
28,13,0.076660
28,14,0.073730
28,15,0.080872
28,16,0.085205
28,17,0.161011
28,18,0.076233
28,19,0.185059
29,0,0.134521
29,1,0.074463
29,2,0.090271
29,3,0.089355
29,4,0.072449
29,5,0.103821
29,6,0.072937
29,7,0.072937
29,8,0.072754
29,9,0.074402
29,10,0.086060
29,11,0.075317
29,12,0.071899
29,13,0.080017
29,14,0.070374
29,15,0.073914
29,16,0.076477
29,17,0.076721
29,18,0.073914
29,19,0.074646
30,0,0.071838
30,1,0.103943
30,2,0.071899
30,3,0.078247
30,4,0.091919
30,5,0.096069
30,6,0.126953
30,7,0.076538
30,8,0.072205
30,9,0.141357
30,10,0.070312
30,11,0.076111
30,12,0.097595
30,13,0.076782
30,14,0.074219
30,15,0.093079
30,16,0.074402
30,17,0.082703
30,18,0.087708
30,19,0.096924
31,0,0.127930
31,1,0.071533
31,2,0.101624
31,3,0.077881
31,4,0.072144
31,5,0.075073
31,6,0.146362
31,7,0.073669
31,8,0.078369
31,9,0.076233
31,10,0.172974
31,11,0.071472
31,12,0.097351
31,13,0.074768
31,14,0.098694
31,15,0.071777
31,16,0.087463
31,17,0.073181
31,18,0.072205
31,19,0.099487
32,0,0.149902
32,1,0.072632
32,2,0.153931
32,3,0.070740
32,4,0.079285
32,5,0.077393
32,6,0.117798
32,7,0.117310
32,8,0.126099
32,9,0.083374
32,10,0.080811
32,11,0.108826
32,12,0.117554
32,13,0.072144
32,14,0.073730
32,15,0.069641
32,16,0.141846
32,17,0.074768
32,18,0.072449
32,19,0.113464
33,0,0.083496
33,1,0.112488
33,2,0.172974
33,3,0.070679
33,4,0.093933
33,5,0.083252
33,6,0.072083
33,7,0.106079
33,8,0.076233
33,9,0.079163
33,10,0.097229
33,11,0.100464
33,12,0.073914
33,13,0.170410
33,14,0.074158
33,15,0.072205
33,16,0.082825
33,17,0.068298
33,18,0.071777
33,19,0.063782
34,0,0.196045
34,1,0.116943
34,2,0.074524
34,3,0.087158
34,4,0.114685
34,5,0.114136
34,6,0.134521
34,7,0.075134
34,8,0.153687
34,9,0.133911
34,10,0.089722
34,11,0.150391
34,12,0.150757
34,13,0.163086
34,14,0.078796
34,15,0.117859
34,16,0.163818
34,17,0.127197
34,18,0.120911
34,19,0.107300
35,0,0.169556
35,1,0.134888
35,2,0.116638
35,3,0.151367
35,4,0.135254
35,5,0.152710
35,6,0.126099
35,7,0.198364
35,8,0.125854
35,9,0.047577
35,10,0.201660
35,11,0.131104
35,12,0.194336
35,13,0.132446
35,14,0.082764
35,15,0.162354
35,16,0.168579
35,17,0.156006
35,18,0.126831
35,19,0.156860
