layer,head,src_idx,src_token,dst_idx,dst_token,weight
0,8,4, the,1, cat,0.187256
0,8,4, the,2, sat,0.222290
0,8,4, the,3, on,0.065369
0,8,4, the,4, the,0.178589
0,9,0,The,0,The,1.000000
0,9,0,The,1, cat,0.000000
0,9,0,The,2, sat,0.000000
0,9,0,The,3, on,0.000000
0,9,0,The,4, the,0.000000
0,9,1, cat,0,The,0.684082
0,9,1, cat,1, cat,0.315918
0,9,1, cat,2, sat,0.000000
0,9,1, cat,3, on,0.000000
0,9,1, cat,4, the,0.000000
0,9,2, sat,0,The,0.220703
0,9,2, sat,1, cat,0.695801
0,9,2, sat,2, sat,0.083435
0,9,2, sat,3, on,0.000000
0,9,2, sat,4, the,0.000000
0,9,3, on,0,The,0.241333
0,9,3, on,1, cat,0.349365
0,9,3, on,2, sat,0.124695
0,9,3, on,3, on,0.284668
0,9,3, on,4, the,0.000000
0,9,4, the,0,The,0.261230
0,9,4, the,1, cat,0.267334
0,9,4, the,2, sat,0.063538
0,9,4, the,3, on,0.176025
0,9,4, the,4, the,0.231934
0,10,0,The,0,The,1.000000
0,10,0,The,1, cat,0.000000
0,10,0,The,2, sat,0.000000
0,10,0,The,3, on,0.000000
0,10,0,The,4, the,0.000000
0,10,1, cat,0,The,0.811523
0,10,1, cat,1, cat,0.188354
0,10,1, cat,2, sat,0.000000
0,10,1, cat,3, on,0.000000
0,10,1, cat,4, the,0.000000
0,10,2, sat,0,The,0.356934
0,10,2, sat,1, cat,0.339844
0,10,2, sat,2, sat,0.302979
0,10,2, sat,3, on,0.000000
0,10,2, sat,4, the,0.000000
0,10,3, on,0,The,0.085266
0,10,3, on,1, cat,0.118469
0,10,3, on,2, sat,0.465088
0,10,3, on,3, on,0.331055
0,10,3, on,4, the,0.000000
0,10,4, the,0,The,0.078491
0,10,4, the,1, cat,0.295166
0,10,4, the,2, sat,0.186157
0,10,4, the,3, on,0.149170
0,10,4, the,4, the,0.291016
0,11,0,The,0,The,1.000000
0,11,0,The,1, cat,0.000000
0,11,0,The,2, sat,0.000000
0,11,0,The,3, on,0.000000
0,11,0,The,4, the,0.000000
0,11,1, cat,0,The,0.133301
0,11,1, cat,1, cat,0.866699
0,11,1, cat,2, sat,0.000000
0,11,1, cat,3, on,0.000000
0,11,1, cat,4, the,0.000000
0,11,2, sat,0,The,0.046539
0,11,2, sat,1, cat,0.588379
0,11,2, sat,2, sat,0.364746
0,11,2, sat,3, on,0.000000
0,11,2, sat,4, the,0.000000
0,11,3, on,0,The,0.132324
0,11,3, on,1, cat,0.183105
0,11,3, on,2, sat,0.326660
0,11,3, on,3, on,0.357910
0,11,3, on,4, the,0.000000
0,11,4, the,0,The,0.169800
0,11,4, the,1, cat,0.114746
0,11,4, the,2, sat,0.307861
0,11,4, the,3, on,0.193970
0,11,4, the,4, the,0.213623
0,12,0,The,0,The,1.000000
0,12,0,The,1, cat,0.000000
0,12,0,The,2, sat,0.000000
0,12,0,The,3, on,0.000000
0,12,0,The,4, the,0.000000
0,12,1, cat,0,The,0.758301
0,12,1, cat,1, cat,0.241699
0,12,1, cat,2, sat,0.000000
0,12,1, cat,3, on,0.000000
0,12,1, cat,4, the,0.000000
0,12,2, sat,0,The,0.845215
0,12,2, sat,1, cat,0.039520
0,12,2, sat,2, sat,0.115173
0,12,2, sat,3, on,0.000000
0,12,2, sat,4, the,0.000000
0,12,3, on,0,The,0.048645
0,12,3, on,1, cat,0.603027
0,12,3, on,2, sat,0.243652
0,12,3, on,3, on,0.104675
0,12,3, on,4, the,0.000000
0,12,4, the,0,The,0.033966
0,12,4, the,1, cat,0.395752
0,12,4, the,2, sat,0.194214
0,12,4, the,3, on,0.150513
0,12,4, the,4, the,0.225586
0,13,0,The,0,The,1.000000
0,13,0,The,1, cat,0.000000
0,13,0,The,2, sat,0.000000
0,13,0,The,3, on,0.000000
0,13,0,The,4, the,0.000000
0,13,1, cat,0,The,0.075134
0,13,1, cat,1, cat,0.924805
0,13,1, cat,2, sat,0.000000
0,13,1, cat,3, on,0.000000
0,13,1, cat,4, the,0.000000
0,13,2, sat,0,The,0.142334
0,13,2, sat,1, cat,0.780273
0,13,2, sat,2, sat,0.077454
0,13,2, sat,3, on,0.000000
0,13,2, sat,4, the,0.000000
0,13,3, on,0,The,0.006809
0,13,3, on,1, cat,0.149292
0,13,3, on,2, sat,0.625488
0,13,3, on,3, on,0.218262
0,13,3, on,4, the,0.000000
0,13,4, the,0,The,0.027802
0,13,4, the,1, cat,0.177612
0,13,4, the,2, sat,0.047363
0,13,4, the,3, on,0.292480
0,13,4, the,4, the,0.454590
0,14,0,The,0,The,1.000000
0,14,0,The,1, cat,0.000000
0,14,0,The,2, sat,0.000000
0,14,0,The,3, on,0.000000
0,14,0,The,4, the,0.000000
0,14,1, cat,0,The,0.789551
0,14,1, cat,1, cat,0.210205
0,14,1, cat,2, sat,0.000000
0,14,1, cat,3, on,0.000000
0,14,1, cat,4, the,0.000000
0,14,2, sat,0,The,0.392822
0,14,2, sat,1, cat,0.254150
0,14,2, sat,2, sat,0.353027
0,14,2, sat,3, on,0.000000
0,14,2, sat,4, the,0.000000
0,14,3, on,0,The,0.258789
0,14,3, on,1, cat,0.217407
0,14,3, on,2, sat,0.269043
0,14,3, on,3, on,0.254639
0,14,3, on,4, the,0.000000
0,14,4, the,0,The,0.179810
0,14,4, the,1, cat,0.102783
0,14,4, the,2, sat,0.237061
0,14,4, the,3, on,0.032532
0,14,4, the,4, the,0.447754
0,15,0,The,0,The,1.000000
0,15,0,The,1, cat,0.000000
0,15,0,The,2, sat,0.000000
0,15,0,The,3, on,0.000000
0,15,0,The,4, the,0.000000
0,15,1, cat,0,The,0.269531
0,15,1, cat,1, cat,0.730469
0,15,1, cat,2, sat,0.000000
0,15,1, cat,3, on,0.000000
0,15,1, cat,4, the,0.000000
0,15,2, sat,0,The,0.445068
0,15,2, sat,1, cat,0.449463
0,15,2, sat,2, sat,0.105652
0,15,2, sat,3, on,0.000000
0,15,2, sat,4, the,0.000000
0,15,3, on,0,The,0.399414
0,15,3, on,1, cat,0.058563
0,15,3, on,2, sat,0.507324
0,15,3, on,3, on,0.034821
0,15,3, on,4, the,0.000000
0,15,4, the,0,The,0.363281
0,15,4, the,1, cat,0.111450
0,15,4, the,2, sat,0.153198
0,15,4, the,3, on,0.067749
0,15,4, the,4, the,0.304443
0,16,0,The,0,The,1.000000
0,16,0,The,1, cat,0.000000
0,16,0,The,2, sat,0.000000
0,16,0,The,3, on,0.000000
0,16,0,The,4, the,0.000000
0,16,1, cat,0,The,0.797852
0,16,1, cat,1, cat,0.202148
0,16,1, cat,2, sat,0.000000
0,16,1, cat,3, on,0.000000
0,16,1, cat,4, the,0.000000
0,16,2, sat,0,The,0.042816
0,16,2, sat,1, cat,0.878418
0,16,2, sat,2, sat,0.078491
0,16,2, sat,3, on,0.000000
0,16,2, sat,4, the,0.000000
0,16,3, on,0,The,0.053925
0,16,3, on,1, cat,0.029587
0,16,3, on,2, sat,0.910156
0,16,3, on,3, on,0.006367
0,16,3, on,4, the,0.000000
0,16,4, the,0,The,0.091248
0,16,4, the,1, cat,0.089783
0,16,4, the,2, sat,0.148438
0,16,4, the,3, on,0.479980
0,16,4, the,4, the,0.190674
0,17,0,The,0,The,1.000000
0,17,0,The,1, cat,0.000000
0,17,0,The,2, sat,0.000000
0,17,0,The,3, on,0.000000
0,17,0,The,4, the,0.000000
0,17,1, cat,0,The,0.603516
0,17,1, cat,1, cat,0.396484
0,17,1, cat,2, sat,0.000000
0,17,1, cat,3, on,0.000000
0,17,1, cat,4, the,0.000000
0,17,2, sat,0,The,0.176758
0,17,2, sat,1, cat,0.371094
0,17,2, sat,2, sat,0.452148
0,17,2, sat,3, on,0.000000
0,17,2, sat,4, the,0.000000
0,17,3, on,0,The,0.265137
0,17,3, on,1, cat,0.230713
0,17,3, on,2, sat,0.417725
0,17,3, on,3, on,0.086487
0,17,3, on,4, the,0.000000
0,17,4, the,0,The,0.136841
0,17,4, the,1, cat,0.429443
0,17,4, the,2, sat,0.208984
0,17,4, the,3, on,0.052155
0,17,4, the,4, the,0.172729
0,18,0,The,0,The,1.000000
0,18,0,The,1, cat,0.000000
0,18,0,The,2, sat,0.000000
0,18,0,The,3, on,0.000000
0,18,0,The,4, the,0.000000
0,18,1, cat,0,The,0.778320
0,18,1, cat,1, cat,0.221802
0,18,1, cat,2, sat,0.000000
0,18,1, cat,3, on,0.000000
0,18,1, cat,4, the,0.000000
0,18,2, sat,0,The,0.216797
0,18,2, sat,1, cat,0.771484
0,18,2, sat,2, sat,0.011787
0,18,2, sat,3, on,0.000000
0,18,2, sat,4, the,0.000000
0,18,3, on,0,The,0.250244
0,18,3, on,1, cat,0.203003
0,18,3, on,2, sat,0.405518
0,18,3, on,3, on,0.141235
0,18,3, on,4, the,0.000000
0,18,4, the,0,The,0.440430
0,18,4, the,1, cat,0.040802
0,18,4, the,2, sat,0.224365
0,18,4, the,3, on,0.114014
0,18,4, the,4, the,0.180298
0,19,0,The,0,The,1.000000
0,19,0,The,1, cat,0.000000
0,19,0,The,2, sat,0.000000
0,19,0,The,3, on,0.000000
0,19,0,The,4, the,0.000000
0,19,1, cat,0,The,0.006615
0,19,1, cat,1, cat,0.993164
0,19,1, cat,2, sat,0.000000
0,19,1, cat,3, on,0.000000
0,19,1, cat,4, the,0.000000
0,19,2, sat,0,The,0.006153
0,19,2, sat,1, cat,0.642578
0,19,2, sat,2, sat,0.351318
0,19,2, sat,3, on,0.000000
0,19,2, sat,4, the,0.000000
0,19,3, on,0,The,0.016983
0,19,3, on,1, cat,0.363281
0,19,3, on,2, sat,0.586914
0,19,3, on,3, on,0.033081
0,19,3, on,4, the,0.000000
0,19,4, the,0,The,0.073364
0,19,4, the,1, cat,0.155273
0,19,4, the,2, sat,0.341064
0,19,4, the,3, on,0.087341
0,19,4, the,4, the,0.343018
1,0,0,The,0,The,1.000000
1,0,0,The,1, cat,0.000000
1,0,0,The,2, sat,0.000000
1,0,0,The,3, on,0.000000
1,0,0,The,4, the,0.000000
1,0,1, cat,0,The,0.127563
1,0,1, cat,1, cat,0.872559
1,0,1, cat,2, sat,0.000000
1,0,1, cat,3, on,0.000000
1,0,1, cat,4, the,0.000000
1,0,2, sat,0,The,0.276611
1,0,2, sat,1, cat,0.145508
1,0,2, sat,2, sat,0.577637
1,0,2, sat,3, on,0.000000
1,0,2, sat,4, the,0.000000
1,0,3, on,0,The,0.083191
1,0,3, on,1, cat,0.004971
1,0,3, on,2, sat,0.000859
1,0,3, on,3, on,0.911133
1,0,3, on,4, the,0.000000
1,0,4, the,0,The,0.556641
1,0,4, the,1, cat,0.004601
1,0,4, the,2, sat,0.001564
1,0,4, the,3, on,0.020035
1,0,4, the,4, the,0.416992
1,1,0,The,0,The,1.000000
1,1,0,The,1, cat,0.000000
1,1,0,The,2, sat,0.000000
1,1,0,The,3, on,0.000000
1,1,0,The,4, the,0.000000
1,1,1, cat,0,The,0.476074
1,1,1, cat,1, cat,0.523926
1,1,1, cat,2, sat,0.000000
1,1,1, cat,3, on,0.000000
1,1,1, cat,4, the,0.000000
1,1,2, sat,0,The,0.436523
1,1,2, sat,1, cat,0.545410
1,1,2, sat,2, sat,0.017990
1,1,2, sat,3, on,0.000000
1,1,2, sat,4, the,0.000000
1,1,3, on,0,The,0.794922
1,1,3, on,1, cat,0.097595
1,1,3, on,2, sat,0.037811
1,1,3, on,3, on,0.069519
1,1,3, on,4, the,0.000000
1,1,4, the,0,The,0.421387
1,1,4, the,1, cat,0.022736
1,1,4, the,2, sat,0.007256
1,1,4, the,3, on,0.025543
1,1,4, the,4, the,0.522949
1,2,0,The,0,The,1.000000
1,2,0,The,1, cat,0.000000
1,2,0,The,2, sat,0.000000
1,2,0,The,3, on,0.000000
1,2,0,The,4, the,0.000000
1,2,1, cat,0,The,0.621094
1,2,1, cat,1, cat,0.378906
1,2,1, cat,2, sat,0.000000
1,2,1, cat,3, on,0.000000
1,2,1, cat,4, the,0.000000
1,2,2, sat,0,The,0.770508
1,2,2, sat,1, cat,0.024857
1,2,2, sat,2, sat,0.204590
1,2,2, sat,3, on,0.000000
1,2,2, sat,4, the,0.000000
1,2,3, on,0,The,0.397705
1,2,3, on,1, cat,0.029221
1,2,3, on,2, sat,0.005123
1,2,3, on,3, on,0.567871
1,2,3, on,4, the,0.000000
1,2,4, the,0,The,0.566895
1,2,4, the,1, cat,0.015320
1,2,4, the,2, sat,0.001322
1,2,4, the,3, on,0.254150
1,2,4, the,4, the,0.162231
1,3,0,The,0,The,1.000000
1,3,0,The,1, cat,0.000000
1,3,0,The,2, sat,0.000000
1,3,0,The,3, on,0.000000
1,3,0,The,4, the,0.000000
1,3,1, cat,0,The,0.145752
1,3,1, cat,1, cat,0.854004
1,3,1, cat,2, sat,0.000000
1,3,1, cat,3, on,0.000000
1,3,1, cat,4, the,0.000000
1,3,2, sat,0,The,0.110168
1,3,2, sat,1, cat,0.096924
1,3,2, sat,2, sat,0.792969
1,3,2, sat,3, on,0.000000
1,3,2, sat,4, the,0.000000
1,3,3, on,0,The,0.011238
1,3,3, on,1, cat,0.001268
1,3,3, on,2, sat,0.000169
1,3,3, on,3, on,0.987305
1,3,3, on,4, the,0.000000
1,3,4, the,0,The,0.468750
1,3,4, the,1, cat,0.004417
1,3,4, the,2, sat,0.002241
1,3,4, the,3, on,0.033630
1,3,4, the,4, the,0.490967
1,4,0,The,0,The,1.000000
1,4,0,The,1, cat,0.000000
1,4,0,The,2, sat,0.000000
1,4,0,The,3, on,0.000000
1,4,0,The,4, the,0.000000
1,4,1, cat,0,The,0.479004
1,4,1, cat,1, cat,0.520996
1,4,1, cat,2, sat,0.000000
1,4,1, cat,3, on,0.000000
1,4,1, cat,4, the,0.000000
1,4,2, sat,0,The,0.166382
1,4,2, sat,1, cat,0.111084
1,4,2, sat,2, sat,0.722656
1,4,2, sat,3, on,0.000000
1,4,2, sat,4, the,0.000000
1,4,3, on,0,The,0.023209
1,4,3, on,1, cat,0.001797
1,4,3, on,2, sat,0.009888
1,4,3, on,3, on,0.965332
1,4,3, on,4, the,0.000000
1,4,4, the,0,The,0.009018
1,4,4, the,1, cat,0.000765
1,4,4, the,2, sat,0.003004
1,4,4, the,3, on,0.511719
1,4,4, the,4, the,0.475342
1,5,0,The,0,The,1.000000
1,5,0,The,1, cat,0.000000
1,5,0,The,2, sat,0.000000
1,5,0,The,3, on,0.000000
1,5,0,The,4, the,0.000000
1,5,1, cat,0,The,0.105286
1,5,1, cat,1, cat,0.894531
1,5,1, cat,2, sat,0.000000
1,5,1, cat,3, on,0.000000
1,5,1, cat,4, the,0.000000
1,5,2, sat,0,The,0.083435
1,5,2, sat,1, cat,0.896973
1,5,2, sat,2, sat,0.019653
1,5,2, sat,3, on,0.000000
1,5,2, sat,4, the,0.000000
1,5,3, on,0,The,0.020782
1,5,3, on,1, cat,0.271240
1,5,3, on,2, sat,0.130127
1,5,3, on,3, on,0.578125
1,5,3, on,4, the,0.000000
1,5,4, the,0,The,0.008469
1,5,4, the,1, cat,0.059570
1,5,4, the,2, sat,0.004604
1,5,4, the,3, on,0.219238
1,5,4, the,4, the,0.708008
1,6,0,The,0,The,1.000000
1,6,0,The,1, cat,0.000000
1,6,0,The,2, sat,0.000000
1,6,0,The,3, on,0.000000
1,6,0,The,4, the,0.000000
1,6,1, cat,0,The,1.000000
1,6,1, cat,1, cat,0.000029
1,6,1, cat,2, sat,0.000000
1,6,1, cat,3, on,0.000000
1,6,1, cat,4, the,0.000000
1,6,2, sat,0,The,1.000000
1,6,2, sat,1, cat,0.000000
1,6,2, sat,2, sat,0.000003
1,6,2, sat,3, on,0.000000
1,6,2, sat,4, the,0.000000
1,6,3, on,0,The,0.012321
1,6,3, on,1, cat,0.000000
1,6,3, on,2, sat,0.000000
1,6,3, on,3, on,0.987793
1,6,3, on,4, the,0.000000
1,6,4, the,0,The,0.000000
1,6,4, the,1, cat,0.000000
1,6,4, the,2, sat,0.000000
1,6,4, the,3, on,0.000000
1,6,4, the,4, the,1.000000
1,7,0,The,0,The,1.000000
1,7,0,The,1, cat,0.000000
1,7,0,The,2, sat,0.000000
