layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
14,10,0.117249,0.117249,3.857038,3.896945,0.039907,0.342142,0.986092,0.342142
14,11,0.151733,0.151733,3.857038,3.853791,-0.003247,0.613352,0.139082,0.139082
14,12,0.108459,0.108459,3.857038,3.855494,-0.001544,0.290682,0.193324,0.193324
14,13,0.116028,0.116028,3.857038,3.860585,0.003547,0.336579,0.855355,0.336579
14,14,0.145996,0.145996,3.857038,3.858109,0.001070,0.573018,0.751043,0.573018
14,15,0.239502,0.239502,3.857038,3.846587,-0.010452,0.913769,0.045897,0.045897
14,16,0.105408,0.105408,3.857038,3.856940,-0.000098,0.261474,0.397775,0.261474
14,17,0.239868,0.239868,3.857038,3.860056,0.003018,0.915160,0.841446,0.841446
14,18,0.112305,0.112305,3.857038,3.855517,-0.001522,0.314325,0.194715,0.194715
14,19,0.114624,0.114624,3.857038,3.851929,-0.005110,0.326843,0.102921,0.102921
15,0,0.152954,0.152954,3.857038,3.859390,0.002351,0.628651,0.813630,0.628651
15,1,0.160522,0.160522,3.857038,3.855632,-0.001406,0.675939,0.201669,0.201669
15,2,0.117004,0.117004,3.857038,3.853196,-0.003842,0.340751,0.121001,0.121001
15,3,0.198120,0.198120,3.857038,3.857131,0.000092,0.830320,0.581363,0.581363
15,4,0.187988,0.187988,3.857038,3.858727,0.001688,0.789986,0.784423,0.784423
15,5,0.184204,0.184204,3.857038,3.853324,-0.003715,0.774687,0.125174,0.125174
15,6,0.098267,0.098267,3.857038,3.854035,-0.003004,0.212796,0.144645,0.144645
15,7,0.173340,0.173340,3.857038,3.858554,0.001516,0.744089,0.778860,0.744089
15,8,0.136230,0.136230,3.857038,3.853733,-0.003305,0.492350,0.136300,0.136300
15,9,0.162476,0.162476,3.857038,3.866054,0.009015,0.689847,0.934631,0.689847
15,10,0.175537,0.175537,3.857038,3.860682,0.003644,0.752434,0.859527,0.752434
15,11,0.115356,0.115356,3.857038,3.857692,0.000653,0.333797,0.712100,0.333797
15,12,0.211548,0.211548,3.857038,3.854639,-0.002399,0.862309,0.159944,0.159944
15,13,0.234253,0.234253,3.857038,3.850129,-0.006909,0.899861,0.069541,0.069541
15,14,0.115479,0.115479,3.857038,3.857119,0.000081,0.335188,0.574409,0.335188
15,15,0.128540,0.128540,3.857038,3.854392,-0.002647,0.418637,0.157163,0.157163
15,16,0.283203,0.283203,3.857038,3.850541,-0.006498,0.952712,0.073713,0.073713
15,17,0.195557,0.195557,3.857038,3.850744,-0.006295,0.823366,0.077886,0.077886
15,18,0.219482,0.219482,3.857038,3.854342,-0.002697,0.874826,0.154381,0.154381
15,19,0.152222,0.152222,3.857038,3.857879,0.000840,0.618915,0.728790,0.618915
16,0,0.103027,0.103027,3.857038,3.857753,0.000715,0.246175,0.719054,0.246175
