layer,head,score,pattern_score,ablation_baseline_nll,ablation_nll,ablation_delta_nll,pattern_pct,ablation_pct,combined_pct
4,14,0.002731,0.002731,0.860877,0.887689,0.026812,0.158554,0.898470,0.158554
4,15,0.012260,0.012260,0.860877,0.874762,0.013885,0.253129,0.853964,0.253129
4,16,0.018936,0.018936,0.860877,0.884548,0.023671,0.314325,0.885953,0.314325
4,17,0.000871,0.000871,0.860877,0.875696,0.014819,0.129346,0.860918,0.129346
4,18,0.003603,0.003603,0.860877,0.858697,-0.002180,0.166898,0.146036,0.146036
4,19,0.000023,0.000023,0.860877,0.893086,0.032209,0.045897,0.916551,0.045897
5,0,0.002676,0.002676,0.860877,0.869969,0.009092,0.155772,0.823366,0.155772
5,1,0.000008,0.000008,0.860877,0.892309,0.031432,0.031989,0.912378,0.031989
5,2,0.013397,0.013397,0.860877,0.862094,0.001217,0.262865,0.692629,0.262865
5,3,0.000012,0.000012,0.860877,0.869189,0.008312,0.037552,0.820584,0.037552
5,4,0.036499,0.036499,0.860877,0.857530,-0.003347,0.582754,0.132128,0.132128
5,5,0.005482,0.005482,0.860877,0.888487,0.027610,0.191933,0.905424,0.191933
5,6,0.002138,0.002138,0.860877,0.847237,-0.013640,0.148818,0.068150,0.068150
5,7,0.000781,0.000781,0.860877,0.866399,0.005522,0.123783,0.798331,0.123783
5,8,0.000307,0.000307,0.860877,0.865243,0.004366,0.086231,0.780250,0.086231
5,9,0.031891,0.031891,0.860877,0.904553,0.043676,0.525730,0.930459,0.525730
5,10,0.001814,0.001814,0.860877,0.859081,-0.001796,0.146036,0.152990,0.146036
5,11,0.000173,0.000173,0.860877,0.877900,0.017023,0.073713,0.872045,0.073713
5,12,0.000059,0.000059,0.860877,0.913029,0.052152,0.058414,0.941586,0.058414
5,13,0.000499,0.000499,0.860877,0.860570,-0.000306,0.100139,0.226704,0.100139
5,14,0.000384,0.000384,0.860877,0.846688,-0.014189,0.091794,0.063978,0.063978
5,15,0.000079,0.000079,0.860877,0.959738,0.098861,0.063978,0.969402,0.063978
5,16,0.006054,0.006054,0.860877,0.886681,0.025804,0.201669,0.890125,0.201669
5,17,0.002342,0.002342,0.860877,0.865712,0.004835,0.151599,0.784423,0.151599
5,18,0.000021,0.000021,0.860877,0.874651,0.013774,0.043115,0.852573,0.043115
5,19,0.000207,0.000207,0.860877,0.859139,-0.001738,0.076495,0.158554,0.076495
6,0,0.000137,0.000137,0.860877,0.866179,0.005302,0.069541,0.792768,0.069541
6,1,0.000000,0.000000,0.860877,0.972644,0.111767,0.018081,0.979138,0.018081
6,2,0.000000,0.000000,0.860877,0.965359,0.104482,0.013908,0.973574,0.013908
